Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Düsseldorf Hbf,DUSSEL,51.220146,6.793137,Konrad-Adenauer-Platz,14,40210,Düsseldorf,Germany
Ebbsfleet International,EBBS,51.44297,0.32095,International Way,??,DA11,??,United Kingdom
Echt,EC,51.10055542,5.878889084,Stationsweg,1,6101 HK,Echt,Netherlands
Ede Centrum,EDC,52.04360962,5.66833353,Museumplein,7,6711 NA,Ede,Netherlands
Ede-Wageningen,ED,52.02777863,5.673055649,Klinkenbergerweg,116,6711 ML,Ede,Netherlands
Eijs-Wittem,WTM,50.82317,5.92479,Wittemerweg,5,6287 AA,Eys,Netherlands
Eijsden,EDN,50.77194595,5.710000038,Stationsplein,7-8,6245 AE,Eijsden,Netherlands
Eilendorf,EDF,50.785561,6.154367,Kehrbrückstraße,17,52080,Aachen,Germany
Eindh Beukenln tot 13 dec,EHB,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Eindhoven,EHV,51.44333267,5.481389046,Kennedyplein,230,5611,Eindhoven,Netherlands
Eindhoven Strijp-S,EHS,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Ekeren,LKR,51.2816099,4.4341227,Statiestraat,9,2180,Antwerpen,Belgium
Elst,EST,51.9169426,5.855000019,Oude Aamsestraat,??,6662,Elst,Netherlands
Emmen,EMN,52.79000092,6.89944458,Stationsstraat,79,7811 GS,Emmen,Netherlands
Emmen Zuid,EMNZ,52.74886637,6.874780655,Nieuw Amsterdamsestraat,86,??,Emmen,Netherlands
Emmerich,EM,51.834283,6.255718,Bahnhofstraße,23,46446,Emmerich am Rhein,Germany
Enkhuizen,EKZ,52.69916534,5.286388874,Bosmankade,??,1601,Enkhuizen,Netherlands
Ennepetal (Gevelsberg),EENP,51.304892,7.343285,Bahnhofstraße,19,58256,Ennepetal,Germany
Enschede,ES,52.22249985,6.889999866,Stationsplein,33,7511 JD,Enschede,Netherlands
Enschede De Eschmarke,ESE,52.22138977,6.951111317,Lenteweg,20,7532 RB,Enschede,Netherlands
